SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_CHEM,INDXSAMP_CHEM,PTL,NTL,TURB,ANC,DOC,COND,SAMPLED_CHLA,INDXSAMP_CHLA,CHLA,PTL_COND,NTL_COND,CHLA_COND,TURB_COND,ANC_COND,SALINITY_COND
NLA06608-0006,2,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES,YES,NO,4,223,1.24,307.4,2.95,77,YES,NO,3.22,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0007,1,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES,YES,8,493,1.05,96,6.68,27,YES,YES,2.43,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0007,2,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,7,7050007,,,YES,YES,NO,7,523,1.02,100.2,6.52,26,YES,NO,4.09,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0008,1,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES,YES,66,801,8.62,1933.6,7.6,238,YES,YES,30.24,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0008,2,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,7,7100008,,,YES,YES,NO,79,1525,17.6,1571.2,7.13,198,YES,NO,148.2,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0010,1,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES,YES,10,473,3.05,2089.6,4.94,650,YES,YES,4.38,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0010,2,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,4,4090005,,,YES,YES,NO,10,485,1.42,1926.7,4.55,649,YES,NO,3.33,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0012,1,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES,YES,159,1026,50.3,1769.6,8.01,220,YES,YES,4.9,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0012,2,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,11,11050003,,,YES,YES,NO,142,1052,45.1,1858,6.14,230,YES,NO,21.28,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0013,1,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,YES,YES,28,384,4.21,14.9,4.79,48,YES,YES,16.03,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED
NLA06608-0013,2,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040202,,,YES,YES,NO,20,264,4.15,17.8,4.41,49,YES,NO,8.8,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED
NLA06608-0014,1,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES,YES,175,4147,7.1,29010.7,41.27,8722,YES,YES,8.75,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED
NLA06608-0014,2,PROB_Lake,Target_Sampled,Target,47.8349274,-100.5756807,ND,Region_8,"(10,20]",,NLALake,Panel_1,"TPL_ND_(10,20]",0.00274667,360.5718727,324.9301387,ND,NO,PLNLOW,TPL,46,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,E,TRASH,9,9010003,,,YES,YES,NO,175,4456,6.18,28669.5,40.88,8625,YES,NO,20.52,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED
NLA06608-0015,1,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES,YES,109,470,32.7,2896.4,3.78,744,YES,YES,20,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0015,2,PROB_Lake,Target_Sampled,Target,33.0071076,-107.2747938,NM,Region_6,>100,,NLALake,Panel_1,XER_NM_>100,0.18618767,5.31922114,6.9209566,NM,YES,WMTNS,XER,24,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,13,13030101,,,YES,YES,NO,98,423,17.7,3060,3.94,706,YES,NO,13.65,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0016,1,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES,YES,6,490,16.5,3256.4,4.69,1060,YES,YES,13,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0016,2,PROB_Lake,Target_Sampled,Target,41.0302522,-100.7797567,NE,Region_7,>100,,NLALake,Panel_1,SPL_NE_>100,0.06081946,16.2838239,4.1608113,NE,YES,PLNLOW,SPL,44,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,E,SO-SO,10,10190018,,,YES,YES,NO,39,704,18.6,3046.6,4.49,1091,YES,NO,16.64,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE
NLA06608-0019,1,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES,YES,801,7047,45.5,8136.3,44.99,3327,YES,YES,4.03,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED
NLA06608-0019,2,PROB_Lake,Target_Sampled,Target,46.3668879,-99.5118588,ND,Region_8,>100,,NLALake,Panel_1,NPL_ND_>100,0.04063311,24.37355445,21.9642824,ND,NO,PLNLOW,NPL,42,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,E,TRASH,10,10130104,,,YES,YES,NO,1376,6578,33.8,11438,50.6,3950,YES,NO,44.26,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,3:MOST DISTURBED
NLA06608-0020,1,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES,YES,30,605,4.55,1757.1,5.03,214,YES,YES,20.24,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0020,2,PROB_Lake,Target_Sampled,Target,39.4081784,-87.8138083,IL,Region_5,>100,,NLALake,Panel_1,TPL_IL_>100,0.02926005,33.8472937,20.3353418,IL,NO,PLNLOW,TPL,54,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,REF,5,5120111,,,YES,YES,NO,20,466,3.78,1737.8,4.71,219,YES,NO,13.03,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0021,1,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,YES,YES,7,390,0.574,2238.3,2.92,367,YES,YES,2.29,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0021,2,PROB_Lake,Target_Sampled,Target,42.7719197,-77.3095481,NY,Region_2,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,8.4183112,NY,YES,EHIGH,NAP,83,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,B,SO-SO,4,4140201,,,YES,YES,NO,11,463,2.36,2217.8,2.7,359,YES,NO,3.95,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0023,1,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES,YES,12,349,3.79,1461.7,3.88,176,YES,YES,2.78,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0023,2,PROB_Lake,Target_Sampled,Target,31.1484917,-97.745332,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,SPL,29,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,D,REF,12,12070202,,,YES,YES,NO,24,562,2.81,1480.1,4.7,192,YES,NO,2.82,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0024,1,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,YES,YES,35,860,5.68,592.6,8.2,181,YES,YES,44.15,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0024,2,PROB_Lake,Target_Sampled,Target,32.1220497,-95.4884341,TX,Region_6,>100,NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,2.1860872,TX,YES,PLNLOW,CPL,35,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,12,12020001,,,YES,YES,NO,29,943,3.83,557.7,9.85,143,YES,NO,25.4,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0025,1,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES,YES,10,195,1.56,669.7,3.43,85,YES,YES,1.3,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0025,2,PROB_Lake,Target_Sampled,Target,35.2013214,-81.3457308,NC,Region_4,"(10,20]",,NLALake,Panel_1,"SAP_NC_(10,20]",0.01583417,62.54658929,47.4194014,NC,YES,EHIGH,SAP,45,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,EHIGH MAN-MADE,A,REF,3,3050105,,,YES,YES,NO,4,97,1.42,686.7,3.13,89,YES,NO,1.83,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0029,1,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES,YES,247,2106,25.1,604.7,4.12,142,YES,YES,123.12,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0029,2,PROB_Lake,Target_Sampled,Target,38.7560105,-75.2150379,DE,Region_3,"(50,100]",,NLALake,Panel_1,"CPL_DE_(50,100]",0.21500749,4.60622732,4.3574998,DE,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,2,2040207,,,YES,YES,NO,162,2146,16.4,542.5,5.51,147,YES,NO,106.8,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0031,1,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,YES,YES,32,428,8.82,2761.9,3.83,357,YES,YES,5.26,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0031,2,PROB_Lake,Target_Sampled,Target,39.7764536,-81.5174519,OH,Region_5,"(20,50]",,NLALake,Panel_1,"SAP_OH_(20,50]",0.02943198,33.64956123,28.8221929,OH,YES,EHIGH,SAP,70,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,EHIGH MAN-MADE,B,SO-SO,5,5030201,,,YES,YES,NO,24,394,6.24,2636.5,3.99,348,YES,NO,8.5,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
NLA06608-0033,1,PROB_Lake,Target_Sampled,Target,47.3110836,-121.2990598,WA,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_WA_(10,20]",0.00907729,109.104571,32.5493729,WA,NO,WMTNS,WMT,77,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,TRASH,17,17030001,,,YES,YES,YES,67,835,12.2,1040.1,10.11,110,YES,YES,8.92,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED
